,GEOID,totalpop,party,full_name,gini_index_of_income_inequality,median_household_income,white,black,amerindian_native,asian,hawaiian_pacific,other_race,two_more_races,hispanic_latino,citizen_voters,state_district,lackinsurance,csmoking,diabetes,obesity,ghlth,mhlth,url,twitter
197,5401,606136.0,Republican,David B. McKinley,0.4695,46867.0,569483.0,16341.0,833.0,5765.0,13.0,1988.0,11713.0,7663.0,486327.0,WV-01,0.10099999999999999,0.228,0.125,0.363,0.22399999999999998,0.158,https://mckinley.house.gov,RepMcKinley
198,5308,754721.0,Democrat,Kim Schrier,0.4392,85924.0,560125.0,23330.0,8189.0,71094.0,4732.0,39906.0,47345.0,85384.0,522952.0,WA-08,0.086,0.114,0.07200000000000001,0.242,0.125,0.11800000000000001,https://schrier.house.gov,RepKimSchrier
199,1804,768025.0,Republican,James R. Baird,0.4274,59033.0,679224.0,31603.0,1826.0,24154.0,120.0,14054.0,17044.0,48814.0,567094.0,IN-04,0.114,0.19899999999999998,0.099,0.331,0.183,0.14300000000000002,https://baird.house.gov,RepJimBaird
200,2402,768511.0,Democrat,C. A. Dutch Ruppersberger,0.4324,71411.0,405867.0,272284.0,1475.0,41651.0,440.0,15739.0,31055.0,51397.0,560167.0,MD-02,0.087,0.154,0.092,0.318,0.149,0.127,https://ruppersberger.house.gov,Call_Me_Dutch
201,2902,760689.0,Republican,Ann Wagner,0.4517,85654.0,669924.0,29119.0,1685.0,40337.0,665.0,3084.0,15875.0,21247.0,575828.0,MO-02,0.1,0.14800000000000002,0.083,0.261,0.147,0.111,https://wagner.house.gov,RepAnnWagner
202,3607,720811.0,Democrat,Nydia M. Velázquez,0.5493,60853.0,363279.0,73871.0,3175.0,121103.0,973.0,122882.0,35528.0,286681.0,446196.0,NY-07,0.19,0.14300000000000002,0.106,0.218,0.204,0.13,https://velazquez.house.gov,NydiaVelazquez
203,5307,799589.0,Democrat,Pramila Jayapal,0.4755,92711.0,579901.0,32500.0,3442.0,104256.0,2594.0,22680.0,54216.0,62587.0,600321.0,WA-07,0.08800000000000001,0.09699999999999999,0.063,0.209,0.11,0.11599999999999999,https://jayapal.house.gov,RepJayapal
204,0406,783621.0,Republican,David Schweikert,0.4912,73608.0,663178.0,26842.0,12702.0,35839.0,838.0,18430.0,25792.0,140297.0,577899.0,AZ-06,0.11,0.131,0.081,0.265,0.132,0.109,https://schweikert.house.gov,RepDavid
205,0407,854749.0,Democrat,Ruben Gallego,0.4561,46053.0,607405.0,82671.0,30209.0,19817.0,176.0,78407.0,36064.0,548361.0,454957.0,AZ-07,0.27,0.191,0.11,0.349,0.255,0.157,https://rubengallego.house.gov,RepRubenGallego
206,0604,754525.0,Republican,Tom McClintock,0.4579,77592.0,636599.0,10014.0,4749.0,43292.0,1624.0,21489.0,36758.0,107905.0,573118.0,CA-04,0.078,0.11199999999999999,0.086,0.233,0.128,0.10800000000000001,https://mcclintock.house.gov,RepMcClintock
207,0633,704818.0,Democrat,Ted Lieu,0.5361,114080.0,506075.0,29120.0,2800.0,99123.0,630.0,22895.0,44175.0,96694.0,517251.0,CA-33,0.079,0.094,0.07,0.193,0.102,0.099,https://lieu.house.gov,RepTedLieu
208,1210,839504.0,Democrat,Val Butler Demings,0.4776,56262.0,479216.0,237772.0,3835.0,41302.0,930.0,49281.0,27168.0,238792.0,546157.0,FL-10,0.244,0.168,0.106,0.292,0.195,0.141,https://demings.house.gov,RepValDemings
209,3616,732981.0,Democrat,Jamaal Bowman,0.5713,70740.0,334077.0,239144.0,2789.0,36612.0,305.0,93276.0,26778.0,197260.0,498243.0,NY-16,0.128,0.128,0.106,0.266,0.17800000000000002,0.11699999999999999,https://bowman.house.gov,RepBowman
210,4504,736750.0,Republican,William R. Timmons IV,0.4570,58602.0,536500.0,135926.0,5485.0,19469.0,1314.0,18275.0,19781.0,63356.0,533533.0,SC-04,0.152,0.163,0.106,0.312,0.16899999999999998,0.131,https://timmons.house.gov,RepTimmons
211,4505,731341.0,Republican,Ralph Norman,0.4733,52045.0,494957.0,194577.0,3419.0,9808.0,86.0,10826.0,17668.0,33024.0,552247.0,SC-05,0.146,0.17800000000000002,0.121,0.34299999999999997,0.187,0.136,https://norman.house.gov,RepRalphNorman
212,4706,784725.0,Republican,John Rose,0.4509,57059.0,707579.0,36384.0,1507.0,7195.0,593.0,11154.0,20313.0,34953.0,591603.0,TN-06,0.14400000000000002,0.212,0.113,0.319,0.205,0.138,https://johnrose.house.gov,RepJohnRose
213,4708,699385.0,Republican,David Kustoff,0.4955,55945.0,530025.0,132504.0,2134.0,15446.0,0.0,5288.0,13988.0,26572.0,525277.0,TN-08,0.14800000000000002,0.207,0.11699999999999999,0.33399999999999996,0.204,0.135,https://kustoff.house.gov,repdavidkustoff
214,0402,724747.0,Democrat,Ann Kirkpatrick,0.4661,53292.0,584070.0,28469.0,13349.0,21765.0,1139.0,39945.0,36010.0,211844.0,550044.0,AZ-02,0.132,0.152,0.092,0.263,0.163,0.12,https://kirkpatrick.house.gov,RepKirkpatrick
215,0405,841344.0,Republican,Andy Biggs,0.4238,78797.0,700892.0,35213.0,10581.0,41526.0,1031.0,22035.0,30066.0,146748.0,587681.0,AZ-05,0.10800000000000001,0.124,0.078,0.258,0.126,0.10400000000000001,https://biggs.house.gov,RepAndyBiggsAZ
216,0610,761485.0,Democrat,Josh Harder,0.4382,65609.0,573461.0,24578.0,6704.0,54882.0,5838.0,51190.0,44832.0,341074.0,493409.0,CA-10,0.136,0.126,0.09300000000000001,0.254,0.16899999999999998,0.13,https://harder.house.gov,RepJoshHarder
217,4004,791927.0,Republican,Tom Cole,0.4317,56342.0,591941.0,52439.0,43374.0,18498.0,1156.0,21846.0,62673.0,73895.0,589702.0,OK-04,0.14300000000000002,0.179,0.1,0.33899999999999997,0.184,0.142,https://cole.house.gov,TomColeOK04
218,0614,759415.0,Democrat,Jackie Speier,0.4784,117054.0,328620.0,21827.0,2455.0,266053.0,9036.0,80155.0,51269.0,176159.0,511049.0,CA-14,0.098,0.09,0.084,0.18899999999999997,0.127,0.094,https://speier.house.gov,RepSpeier
219,0627,705509.0,Democrat,Judy Chu,0.4941,76515.0,266686.0,28424.0,2216.0,282449.0,945.0,96228.0,28561.0,196507.0,471963.0,CA-27,0.11,0.08800000000000001,0.096,0.184,0.131,0.092,https://chu.house.gov,RepJudyChu
